Threshold = 100,Infected Unit = 1,# Patient Zero = 5,Random Seeding,Random Quarantine,Quarantine Percent = 10,Leave Infection Rate = 0.8
Day,Susceptible,Infected,Recovered,Dead
0,99995,5,0,0
1,99989,11,0,0
2,99960,40,0,0
3,99907,93,0,0
4,99758,242,0,0
5,99532,468,0,0
6,99100,900,0,0
7,98329,1671,0,0
8,96942,3058,0,0
9,94940,5060,0,0
10,92375,7625,0,0
11,89155,10845,0,0
12,85883,14117,0,0
13,82443,17552,5,0
14,78788,21201,11,0
15,75083,24877,39,1
16,71342,28565,91,2
17,67627,32131,239,3
18,64091,35441,460,8
19,60614,38486,890,10
20,57285,41044,1650,21
21,54239,42703,3022,36
22,51421,43519,5002,58
23,48788,43587,7532,93
24,46439,42716,10710,135
25,44325,41558,13944,173
26,42422,40021,17343,214
27,39995,38793,20943,269
28,37967,37116,24604,313
29,36083,35259,28290,368
30,34571,33056,31960,413
31,33169,30922,35443,466
32,31992,28622,38868,518
33,30896,26389,42152,563
34,29944,24295,45155,606
35,29130,22291,47933,646
36,28429,20359,50532,680
37,27809,18630,52855,706
38,27245,17080,54937,738
39,26768,15654,56809,769
40,26356,13639,59201,804
41,25965,12002,61194,839
42,25618,10465,63054,863
43,25356,9215,64549,880
44,25140,8029,65935,896
45,24958,7034,67097,911
46,24779,6117,68186,918
47,24636,5308,69126,930
48,24496,4634,69926,944
49,24382,4047,70619,952
50,24287,3522,71231,960
51,24209,3036,71787,968
52,24132,2636,72258,974
53,24053,2303,72667,977
54,24014,1951,73054,981
55,23962,1656,73397,985
56,23924,1432,73655,989
57,23891,1249,73867,993
58,23864,1094,74045,997
59,23837,942,74221,1000
