Threshold = 100,Infected Unit = 1,# Patient Zero = 5,Random Seeding,Hypersocial Quarantine,Quarantine Percent = 2,Leave Infection Rate = 0.8
Day,Susceptible,Infected,Recovered,Dead
0,99995,5,0,0
1,99994,6,0,0
2,99993,7,0,0
3,99991,9,0,0
4,99988,12,0,0
5,99985,15,0,0
6,99971,29,0,0
7,99934,66,0,0
8,99873,127,0,0
9,99772,228,0,0
10,99570,430,0,0
11,99201,799,0,0
12,98760,1240,0,0
13,98217,1778,4,1
14,97459,2535,5,1
15,96483,3510,6,1
16,95223,4768,8,1
17,93864,6124,11,1
18,92275,7710,14,1
19,90439,9532,28,1
20,88313,11621,65,1
21,85867,14006,124,3
22,83118,16654,225,3
23,80205,19365,426,4
24,77306,21895,788,11
25,74123,24637,1216,24
26,70899,27318,1748,35
27,66884,30575,2495,46
28,63030,33453,3458,59
29,59264,35959,4696,81
30,55621,38243,6039,97
31,52151,40124,7604,121
32,48892,41547,9413,148
33,45814,42499,11516,171
34,42952,42915,13923,210
35,40284,42834,16631,251
36,37889,42316,19506,289
37,35768,41538,22377,317
38,33891,40232,25530,347
39,32185,38714,28715,386
40,30620,36264,32671,445
41,29224,33806,36487,483
42,28053,31211,40201,535
43,27075,28546,43793,586
44,26251,25900,47221,628
45,25580,23312,50443,665
46,24971,20843,53490,696
47,24444,18508,56322,726
48,23996,16288,58956,760
49,23636,14253,61328,783
50,23297,12471,63417,815
51,23047,10844,65268,841
52,22794,9391,66950,865
53,22605,8015,68501,879
54,22425,6799,69873,903
55,22286,5767,71031,916
56,22160,4915,71994,931
57,22072,4179,72807,942
58,21978,3602,73470,950
59,21922,3049,74066,963
