Threshold = 100,Infected Unit = 1,# Patient Zero = 5,Random Seeding,No Quarantine,Leave Infection Rate = 0.8
Day,Susceptible,Infected,Recovered,Dead
0,99994,6,0,0
1,99991,9,0,0
2,99991,9,0,0
3,99989,11,0,0
4,99980,20,0,0
5,99973,27,0,0
6,99951,49,0,0
7,99936,64,0,0
8,99876,124,0,0
9,99801,199,0,0
10,99570,430,0,0
11,99199,801,0,0
12,98503,1497,0,0
13,97285,2709,6,0
14,95434,4557,9,0
15,93037,6954,9,0
16,89938,10051,11,0
17,86402,13578,20,0
18,82436,17537,27,0
19,78213,21738,49,0
20,73907,26029,64,0
21,69531,30345,124,0
22,65220,34581,198,1
23,60966,38604,428,2
24,57000,42199,795,6
25,53084,45419,1486,11
26,49396,47889,2690,25
27,46060,49374,4518,48
28,42976,50061,6885,78
29,40218,49720,9946,116
30,37787,48615,13435,163
31,35636,46800,17348,216
32,33656,44557,21514,273
33,31912,41995,25755,338
34,30467,39064,30074,395
35,29132,36088,34324,456
36,28003,32963,38529,505
37,27100,29900,42463,537
38,26275,26809,46333,583
39,25546,23850,49961,643
40,24914,21146,53254,686
41,24350,18626,56292,732
42,23936,16282,59017,765
43,23542,14245,61417,796
44,23232,12404,63540,824
45,22958,10698,65495,849
46,22752,9160,67220,868
47,22566,7901,68650,883
48,22397,6735,69971,897
49,22252,5751,71085,912
50,22141,4959,71977,923
51,22040,4235,72793,932
52,21962,3584,73509,945
53,21893,3021,74129,957
54,21838,2512,74682,968
55,21782,2154,75089,975
56,21753,1789,75477,981
57,21700,1532,75779,989
58,21670,1288,76048,994
59,21651,1101,76253,995
