Threshold = 100,Infected Unit = 1,# Patient Zero = 5,Random Seeding,Hypersocial Quarantine,Quarantine Percent = 5,Leave Infection Rate = 0.8
Day,Susceptible,Infected,Recovered,Dead
0,99995,5,0,0
1,99995,5,0,0
2,99993,7,0,0
3,99993,7,0,0
4,99993,7,0,0
5,99993,7,0,0
6,99993,7,0,0
7,99989,11,0,0
8,99982,18,0,0
9,99947,53,0,0
10,99896,104,0,0
11,99825,175,0,0
12,99708,292,0,0
13,99493,502,5,0
14,99036,959,5,0
15,98169,1824,7,0
16,96691,3302,7,0
17,94606,5387,7,0
18,92109,7884,7,0
19,88916,11077,7,0
20,85280,14709,11,0
21,81274,18708,18,0
22,76985,22962,53,0
23,72632,27264,104,0
24,68374,31451,174,1
25,64147,35561,291,1
26,60030,39463,505,2
27,56033,43003,956,8
28,52253,45916,1809,22
29,48658,48033,3268,41
30,45408,49198,5326,68
31,42466,49643,7795,96
32,39792,49124,10951,133
33,37335,47945,14539,181
34,35245,46029,18512,214
35,33326,43659,22748,267
36,31655,40977,27056,312
37,30291,38083,31249,377
38,29073,35074,35418,435
39,28086,31944,39475,495
40,27197,28836,43405,562
41,26394,25859,47125,622
42,25734,22924,50682,660
43,25101,20307,53884,708
44,24609,17857,56791,743
45,24182,15610,59431,777
46,23811,13524,61859,806
47,23484,11761,63925,830
48,23233,10093,65826,848
49,23006,8649,67481,864
50,22832,7459,68820,889
51,22686,6387,70023,904
52,22564,5522,70999,915
53,22445,4752,71878,925
54,22366,4028,72671,935
55,22291,3443,73323,943
56,22220,2881,73953,946
57,22166,2443,74437,954
58,22136,2046,74857,961
59,22103,1708,75226,963
