Day,Susceptible,Infected,Recovered,Dead,Hospitalized,Daily Infected,Daily Dead
0,99993.04166666667,6.958333333333333,0.0,0.0,0.3125,1.9583333333333333,0.0
1,99987.25,12.75,0.0,0.0,1.0208333333333333,5.791666666666667,0.0
2,99974.14583333333,25.854166666666668,0.0,0.0,2.6041666666666665,13.104166666666666,0.0
3,99952.14583333333,47.854166666666664,0.0,0.0,5.8125,22.0,0.0
4,99907.875,92.125,0.0,0.0,12.291666666666666,44.270833333333336,0.0
5,99830.95833333333,169.04166666666666,0.0,0.0,22.916666666666668,76.91666666666667,0.0
6,99673.08333333333,326.9166666666667,0.0,0.0,45.375,157.875,0.0
7,99374.91666666667,625.0833333333334,0.0,0.0,86.77083333333333,298.1666666666667,0.0
8,98858.70833333333,1141.2916666666667,0.0,0.0,158.85416666666666,516.2083333333334,0.0
9,98042.91666666667,1957.0833333333333,0.0,0.0,273.2708333333333,815.7916666666666,0.0
10,96865.70833333333,3134.2916666666665,0.0,0.0,435.3541666666667,1177.2083333333333,0.0
11,95248.5,4751.5,0.0,0.0,658.4583333333334,1617.2083333333333,0.0
12,93184.10416666667,6815.895833333333,0.0,0.0,948.625,2064.3958333333335,0.0
13,90746.0,9248.6875,5.229166666666667,0.08333333333333333,1283.625,2439.75,0.08333333333333333
14,87850.70833333333,12139.354166666666,9.833333333333334,0.10416666666666667,1680.125,2896.6666666666665,0.020833333333333332
15,84631.0625,15348.1875,20.4375,0.3125,2127.5416666666665,3222.4166666666665,0.20833333333333334
16,81056.97916666667,18903.458333333332,38.895833333333336,0.6666666666666666,2619.6458333333335,3578.1458333333335,0.3541666666666667
17,77270.6875,22652.333333333332,75.375,1.6041666666666667,3133.75,3795.1041666666665,0.9375
18,73430.875,26426.333333333332,140.0,2.7916666666666665,3657.875,3854.1458333333335,1.1875
19,69470.8125,30250.8125,272.2916666666667,6.083333333333333,4187.791666666667,3988.75,3.2916666666666665
20,65584.3125,33885.708333333336,518.125,11.854166666666666,4693.145833333333,3944.4583333333335,5.770833333333333
21,61784.520833333336,37244.708333333336,949.5,21.270833333333332,5156.104166666667,3898.2916666666665,9.416666666666666
22,58108.5,40217.208333333336,1635.9375,38.354166666666664,5562.708333333333,3831.8541666666665,17.083333333333332
23,54663.270833333336,42641.541666666664,2634.3958333333335,60.791666666666664,5897.875,3667.4583333333335,22.4375
24,51501.833333333336,44399.770833333336,4006.2291666666665,92.16666666666667,6143.125,3474.5625,31.375
25,48551.458333333336,45546.375,5770.104166666667,132.0625,6296.833333333333,3351.9791666666665,39.895833333333336
26,45835.9375,46110.75,7873.833333333333,179.47916666666666,6373.1875,3190.1458333333335,47.416666666666664
27,43450.375,45934.041666666664,10380.354166666666,235.22916666666666,6348.729166666667,2953.5,55.75
28,41334.541666666664,45183.479166666664,13183.833333333334,298.1458333333333,6247.354166666667,2756.0416666666665,62.916666666666664
