Day,Susceptible,Infected,Recovered,Dead,Hospitalized,Daily Infected,Daily Dead
0,99994.09090909091,5.909090909090909,0.0,0.0,0.09090909090909091,0.9090909090909091,0.0
1,99988.54545454546,11.454545454545455,0.0,0.0,0.8181818181818182,5.545454545454546,0.0
2,99977.09090909091,22.90909090909091,0.0,0.0,2.1818181818181817,11.454545454545455,0.0
3,99955.72727272728,44.27272727272727,0.0,0.0,4.818181818181818,21.363636363636363,0.0
4,99911.72727272728,88.27272727272727,0.0,0.0,11.909090909090908,44.0,0.0
5,99836.45454545454,163.54545454545453,0.0,0.0,22.272727272727273,75.27272727272727,0.0
6,99678.81818181818,321.1818181818182,0.0,0.0,44.27272727272727,157.63636363636363,0.0
7,99379.45454545454,620.5454545454545,0.0,0.0,86.54545454545455,299.3636363636364,0.0
8,98861.36363636363,1138.6363636363637,0.0,0.0,159.72727272727272,518.0909090909091,0.0
9,98044.27272727272,1955.7272727272727,0.0,0.0,273.1818181818182,817.0909090909091,0.0
10,96852.81818181818,3147.181818181818,0.0,0.0,435.3636363636364,1191.4545454545455,0.0
11,95257.36363636363,4742.636363636364,0.0,0.0,658.6363636363636,1595.4545454545455,0.0
12,93248.90909090909,6751.090909090909,0.0,0.0,947.3636363636364,2008.4545454545455,0.0
13,90852.27272727272,9143.727272727272,4.0,0.0,1277.909090909091,2398.5454545454545,0.0
14,88070.09090909091,11921.09090909091,8.636363636363637,0.18181818181818182,1667.909090909091,2783.181818181818,0.18181818181818182
15,85013.0,14968.272727272728,18.363636363636363,0.36363636363636365,2099.5454545454545,3058.909090909091,0.18181818181818182
16,81674.18181818182,18289.18181818182,35.90909090909091,0.7272727272727273,2557.4545454545455,3343.0,0.36363636363636365
17,78474.36363636363,21452.81818181818,71.36363636363636,1.4545454545454546,2997.909090909091,3208.181818181818,0.7272727272727273
18,75317.27272727272,24545.454545454544,134.27272727272728,3.0,3430.090909090909,3170.6363636363635,1.5454545454545454
19,72059.09090909091,27671.454545454544,263.8181818181818,5.636363636363637,3862.4545454545455,3288.0,2.6363636363636362
20,68894.18181818182,30583.272727272728,511.6363636363636,10.909090909090908,4257.454545454545,3222.181818181818,5.2727272727272725
21,65798.54545454546,33237.181818181816,942.0909090909091,22.181818181818183,4624.181818181818,3193.6363636363635,11.272727272727273
22,62795.545454545456,35540.27272727273,1623.5454545454545,40.63636363636363,4937.272727272727,3159.2727272727275,18.454545454545453
23,59947.09090909091,37372.545454545456,2618.090909090909,62.27272727272727,5188.818181818182,3083.7272727272725,21.636363636363637
24,57273.36363636364,38663.09090909091,3970.3636363636365,93.18181818181819,5367.727272727273,2984.5454545454545,30.90909090909091
25,54727.454545454544,39454.818181818184,5681.454545454545,136.27272727272728,5451.272727272727,2930.7272727272725,43.09090909090909
26,52338.09090909091,39741.818181818184,7733.909090909091,186.1818181818182,5488.818181818182,2858.181818181818,49.90909090909091
27,50168.181818181816,39461.545454545456,10130.363636363636,239.9090909090909,5442.545454545455,2718.0,53.72727272727273
28,48199.90909090909,38711.545454545456,12786.272727272728,302.27272727272725,5320.181818181818,2564.909090909091,62.36363636363637
29,46411.90909090909,37523.72727272727,15697.363636363636,367.0,5163.090909090909,2439.909090909091,64.72727272727273
30,44759.0,36313.09090909091,18498.454545454544,429.45454545454544,4995.454545454545,2309.0,62.45454545454545
31,43221.181818181816,34976.818181818184,21302.363636363636,499.6363636363636,4803.909090909091,2165.2727272727275,70.18181818181819
32,41871.90909090909,33357.181818181816,24203.81818181818,567.0909090909091,4580.818181818182,2014.0,67.45454545454545
33,40667.545454545456,31653.454545454544,27043.909090909092,635.0909090909091,4359.545454545455,1866.4545454545455,68.0
34,39611.72727272727,29815.090909090908,29872.18181818182,701.0,4098.727272727273,1685.7272727272727,65.9090909090909
35,38699.27272727273,27906.363636363636,32628.090909090908,766.2727272727273,3842.4545454545455,1553.1818181818182,65.27272727272727
36,37877.27272727273,25979.81818181818,35314.545454545456,828.3636363636364,3584.909090909091,1445.8181818181818,62.09090909090909
37,37173.181818181816,24053.090909090908,37888.545454545456,885.1818181818181,3316.7272727272725,1283.6363636363637,56.81818181818182
38,36585.27272727273,22094.090909090908,40385.36363636364,935.2727272727273,3063.5454545454545,1151.3636363636363,50.09090909090909
39,36123.36363636364,20125.81818181818,42762.818181818184,988.0,2797.090909090909,1005.0909090909091,52.72727272727273
40,35709.545454545456,18268.454545454544,44985.545454545456,1036.4545454545455,2544.3636363636365,918.9090909090909,48.45454545454545
41,35347.09090909091,16549.727272727272,47020.181818181816,1083.0,2317.7272727272725,837.0,46.54545454545455
42,35033.454545454544,14903.09090909091,48933.63636363636,1129.8181818181818,2080.5454545454545,745.1818181818181,46.81818181818182
43,34785.90909090909,13341.0,50703.09090909091,1170.0,1860.7272727272727,655.7272727272727,40.18181818181818
44,34583.0,11879.818181818182,52329.0,1208.1818181818182,1661.4545454545455,566.7272727272727,38.18181818181818
45,34407.454545454544,10536.454545454546,53814.72727272727,1241.3636363636363,1474.6363636363637,504.1818181818182,33.18181818181818
46,34167.09090909091,9409.272727272728,55153.545454545456,1270.090909090909,1310.2727272727273,550.8181818181819,28.727272727272727
47,33946.63636363636,8418.454545454546,56334.63636363636,1300.2727272727273,1180.3636363636363,492.8181818181818,30.181818181818183
48,33755.818181818184,7500.909090909091,57417.0,1326.2727272727273,1051.090909090909,433.0,26.0
49,33585.181818181816,6660.818181818182,58405.181818181816,1348.8181818181818,930.6363636363636,387.27272727272725,22.545454545454547
50,33458.72727272727,5915.0,59258.63636363636,1367.6363636363637,826.0909090909091,327.1818181818182,18.818181818181817
51,33337.36363636364,5263.909090909091,60013.27272727273,1385.4545454545455,735.5454545454545,296.09090909090907,17.818181818181817
52,33222.90909090909,4717.363636363636,60658.36363636364,1401.3636363636363,658.9090909090909,260.3636363636364,15.909090909090908
53,33128.454545454544,4214.272727272727,61244.545454545456,1412.7272727272727,588.0,228.0,11.363636363636363
54,33047.181818181816,3754.5454545454545,61772.818181818184,1425.4545454545455,520.5454545454545,201.36363636363637,12.727272727272727
55,32967.90909090909,3362.5454545454545,62234.454545454544,1435.090909090909,469.6363636363636,179.72727272727272,9.636363636363637
56,32895.63636363636,3024.181818181818,62634.818181818184,1445.3636363636363,422.09090909090907,159.72727272727272,10.272727272727273
57,32830.181818181816,2742.909090909091,62973.36363636364,1453.5454545454545,381.1818181818182,143.72727272727272,8.181818181818182
58,32767.636363636364,2501.3636363636365,63270.63636363636,1460.3636363636363,348.1818181818182,130.1818181818182,6.818181818181818
59,32721.727272727272,2196.0,63613.27272727273,1469.0,308.27272727272725,121.36363636363636,8.636363636363637
