Day,Susceptible,Infected,Recovered,Dead,Hospitalized,Daily Infected,Daily Dead
0,1.1066830958984937,1.1066830958984937,0.0,0.0,0.22473328748774735,1.106683095898494,0.0
1,3.1714477463897794,3.1714477463897786,0.0,0.0,0.5222329678670936,2.19963265987388,0.0
2,7.503366247925331,7.503366247925331,0.0,0.0,1.0380999543163054,4.813176359397883,0.0
3,18.435579209997197,18.435579209997197,0.0,0.0,2.2137939918573815,11.109276995085477,0.0
4,36.28307442732754,36.28307442732755,0.0,0.0,5.753073399093178,17.87576374012952,0.0
5,67.88728682250611,67.88728682250611,0.0,0.0,9.414252841604405,31.764005103292938,0.0
6,128.84157525873206,128.84157525873206,0.0,0.0,18.471039302900444,60.98113530950669,0.0
7,249.07363090281382,249.07363090281382,0.0,0.0,35.47274526401441,120.36701818046573,0.0
8,438.60858609120874,438.60858609120874,0.0,0.0,59.627140073403936,190.1425833952038,0.0
9,693.3793053669191,693.3793053669191,0.0,0.0,96.1921871499285,256.7702503988711,0.0
10,1012.6730787970034,1012.6730787970033,0.0,0.0,141.13738918607865,323.4423853507981,0.0
11,1400.2992544074068,1400.2992544074068,0.0,0.0,196.61671810500718,394.5088014790601,0.0
12,1825.5396605932697,1825.5396605932697,0.0,0.0,255.22596816004506,439.7068381721548,0.0
13,2261.0320116211883,2260.6617578340492,0.9330491991748388,0.08333333333333333,315.0285571070174,460.14395735454247,0.08333333333333333
14,2714.72731890983,2712.7342095041568,2.4474270142128836,0.08333333333333333,380.6165079661728,486.5169887095725,0.0
15,3151.786413742774,3146.3703832168007,5.910100923782346,0.17943514064131835,442.12598186307014,477.3038778314391,0.11236664374387367
16,3560.797341831737,3547.5318403729084,14.92732816891979,0.43228310962688193,495.3715904513122,457.9163916231562,0.2599047999758855
17,3775.2272708193855,3749.4778797294975,28.932032420830723,1.0949263154950823,521.2491770213691,223.70351500649835,0.6903922176135926
18,3986.7151300008604,3940.2060272589138,53.605620041185986,1.3898986228564232,547.5556357507648,227.70468092942605,0.6642950239072086
19,4186.614581199845,4097.602058065501,103.59839842664391,2.800049602735241,566.8161322490547,222.98434967956877,1.46400412595323
20,4371.648614202725,4198.445838592653,203.26079804084708,5.449260908090605,578.4176708002094,218.1194577600434,2.73619122581782
21,4530.727313566663,4227.815994498026,356.7576208015745,9.042687765272117,583.933675384007,208.9121353656372,3.6327633692507004
22,4662.494356903456,4182.873148282316,564.4498321419278,14.241136708404802,579.0493057459344,197.55576344849365,5.39283803022138
23,4761.962718374312,4053.505585953168,827.7637770407739,20.655177647175144,559.713053287309,180.64255926323597,6.509268838209159
24,4826.839845678883,3835.994627169298,1149.252392862421,28.129424455577123,528.5742233555849,161.81547938527657,7.665801993400314
25,4854.177439186903,3545.4258142775257,1499.5437140606432,36.166169176860485,489.13037137558763,150.03002014411797,8.320596326725822
26,4847.173552127511,3197.249093385049,1862.4720259237413,44.27521680615831,442.56671870470615,131.77654601941913,8.92349639316271
27,4805.532425646445,2789.9436658218738,2239.949730000496,53.41765942442478,384.61982656234517,104.4258805095845,9.863717823058876
28,4738.546931573778,2367.1056181707986,2604.0619067413536,61.50022583517704,324.9626114857468,96.3093054861903,9.036227591805615
29,4654.284553999246,1937.236740505049,2948.6641003412738,68.52231812196725,268.8034501698822,82.33574097816964,8.373840941958004
30,4583.653408314214,1733.0462675676904,3138.8331900282997,72.76190502750958,242.33110722790633,74.13390066138925,4.71692364649553
31,4491.427517316525,1517.4426519708093,3327.669498752737,77.97116065533073,213.27746664328555,80.95045794443749,5.787700298691593
32,4271.926180059621,1245.727245660465,3512.667518831456,82.2006506646813,174.56570931510825,192.3834882874738,4.850999584590476
33,3962.970880156666,1056.0315828203916,3698.7565644559604,85.89315361764196,147.57619158669303,283.81789558365654,4.576510072581994
34,3605.7470695117995,1081.476981488695,3874.1815449599267,90.36420416259635,151.74944460983684,327.97780320311216,4.968588198559898
35,3240.814443168647,1331.5981822853532,4037.4834280549294,94.24340865947909,188.03974166235298,337.6277610779438,4.875922601120861
36,2873.9056664531836,1699.1843652012706,4178.3264045463575,98.02120467356319,236.60750834462232,341.456560490526,4.447434284750223
37,2509.525596415716,2096.8509036460396,4294.31189470326,100.83270410522431,292.23331103898494,338.71377699655613,3.4255243644903732
38,2159.2065513023226,2491.660436168353,4387.081656003156,102.68674476535445,347.7890738637284,332.35917120920357,3.095288044885012
39,1827.7099616498626,2855.6685876869574,4453.553918507163,104.21778139835811,396.7580641775275,320.7098217590588,2.6037802743648935
40,1510.5688579542518,3189.8321212079322,4492.5753994448405,104.89282649688228,442.82241221806544,310.6371994738713,2.232111832396225
41,1225.2731943872104,3477.445022675747,4508.006252278363,104.49685546958007,481.0442732254801,288.3694976444582,2.84567277376608
42,965.4723483504296,3725.525913911655,4501.954907231127,103.63093447811848,516.0033639337142,267.8311447460127,2.9894595977983527
43,741.9301183433994,3918.937065033958,4469.600965738362,103.65921243783555,541.2923432710262,242.50668011209487,2.276776695508833
44,548.1107560373528,4076.545050946818,4420.076981467174,102.73365521649376,564.0188047585046,227.07998607485774,2.072395529893662
45,401.72974168405227,4085.248908443572,4263.321491679246,99.08974607787516,563.9716752684044,212.78323222035476,4.307249585280495
46,301.24632107230116,3974.8189294728836,4024.9087594746743,93.31803175434557,547.7121285470824,199.6915218884903,6.298749274597492
47,250.24209868554382,3791.1364853271625,3732.2572565629325,87.0544174118068,520.5661447992092,187.19194727942394,6.709850665968354
48,246.1049090583653,3578.91093020466,3422.61890431018,79.84050941999584,490.1256248724052,179.9219527765,7.647373616629649
49,277.9857053860682,3334.828022082801,3106.265370264597,72.1036842878281,460.1615239853998,155.18334504968016,8.099600937918815
50,321.1861027912986,3080.9543200274748,2788.198890508047,65.0004807674528,425.3838789193174,146.02207699418938,7.308670649760234
51,366.2562742938283,2818.952584491465,2477.005619750948,58.02891890508499,389.43678899952766,129.7983186923218,7.507403753036806
52,401.6602099317584,2559.5338929908094,2178.9828904488186,50.6636449956221,353.5307079871549,117.71061877641827,7.5931920597707565
53,434.4527441145779,2298.4441295508286,1889.2596451902646,43.61767868581951,317.54246017682664,105.6183093631368,7.247256534215364
54,461.4879830067041,2057.4165709302492,1627.2419241378086,37.48254644336199,285.2615526303727,93.64834556073389,6.432045718215328
55,483.93455814361573,1827.2146228009935,1379.2747442318218,32.315316364182046,252.75745450546222,82.43394968461757,5.79031758868007
56,503.6735122521776,1617.4368206167649,1156.054925122068,26.740463701848906,224.57277059547823,72.56145079457923,6.150264837855162
57,517.4892523160519,1418.4464797923658,952.6430971674588,22.579097780151816,197.16107602412274,62.979714547181345,4.526786158997677
58,524.999395742798,1231.9378612330227,767.4809390420908,19.391435681191265,171.9188057123937,54.72887143626176,3.8455011101128016
59,528.5684760164797,1062.546415801363,606.2440731773188,15.748717279816663,149.03042491553546,45.51014844088197,4.594339402509848
