Day,Susceptible,Infected,Recovered,Dead,Hospitalized,Daily Infected,Daily Dead
0,99990.75,9.25,0.0,0.0,0.3333333333333333,4.25,0.0
1,99976.91666666667,23.083333333333332,0.0,0.0,1.8333333333333333,13.833333333333334,0.0
2,99947.83333333333,52.166666666666664,0.0,0.0,5.083333333333333,29.083333333333332,0.0
3,99888.25,111.75,0.0,0.0,12.583333333333334,59.583333333333336,0.0
4,99780.83333333333,219.16666666666666,0.0,0.0,25.666666666666668,107.41666666666667,0.0
5,99592.83333333333,407.1666666666667,0.0,0.0,51.5,188.0,0.0
6,99260.58333333333,739.4166666666666,0.0,0.0,94.58333333333333,332.25,0.0
7,98699.16666666667,1300.8333333333333,0.0,0.0,171.5,561.4166666666666,0.0
8,97826.5,2173.5,0.0,0.0,295.25,872.6666666666666,0.0
9,96592.33333333333,3407.6666666666665,0.0,0.0,464.1666666666667,1234.1666666666667,0.0
10,94955.5,5044.5,0.0,0.0,690.5,1636.8333333333333,0.0
11,92865.41666666667,7134.583333333333,0.0,0.0,983.9166666666666,2090.0833333333335,0.0
12,90301.83333333333,9698.166666666666,0.0,0.0,1343.25,2563.5833333333335,0.0
13,87365.83333333333,12626.25,7.833333333333333,0.08333333333333333,1743.3333333333333,2937.3333333333335,0.08333333333333333
14,84016.66666666667,15963.333333333334,19.5,0.5,2212.6666666666665,3351.0,0.4166666666666667
15,80341.33333333333,19615.083333333332,42.75,0.8333333333333334,2726.1666666666665,3681.25,0.3333333333333333
16,76366.33333333333,23539.416666666668,92.33333333333333,1.9166666666666667,3260.4166666666665,3985.8333333333335,1.0833333333333333
17,72607.25,27207.583333333332,181.41666666666666,3.75,3771.0,3778.8333333333335,1.8333333333333333
18,69094.41666666667,30559.083333333332,338.9166666666667,7.583333333333333,4236.166666666667,3545.0833333333335,3.8333333333333335
19,65645.5,33727.666666666664,613.8333333333334,13.0,4682.833333333333,3510.0833333333335,5.416666666666667
20,62352.666666666664,36546.666666666664,1076.5,24.166666666666668,5078.5,3396.4166666666665,11.166666666666666
21,59152.75,39004.833333333336,1801.9166666666667,40.5,5415.083333333333,3360.6666666666665,16.333333333333332
22,56030.75,41070.833333333336,2835.0833333333335,63.333333333333336,5711.666666666667,3357.1666666666665,22.833333333333332
23,53135.416666666664,42554.916666666664,4216.0,93.66666666666667,5931.583333333333,3205.1666666666665,30.333333333333332
24,50443.666666666664,43432.083333333336,5989.916666666667,134.33333333333334,6045.25,3090.8333333333335,40.666666666666664
25,47940.75,43689.916666666664,8181.0,188.33333333333334,6073.916666666667,2993.5,54.0
26,45634.333333333336,43410.5,10704.333333333334,250.83333333333334,6043.5,2870.0833333333335,62.5
27,43626.75,42480.333333333336,13572.75,320.1666666666667,5910.333333333333,2678.5833333333335,69.33333333333333
